epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.9449,2.29201,3.73031,1.26874,0.01444,0.5098,0.01458,0.00509,1.73189,3.66047,1.13292,8e-05,8e-05,8e-05
2,12.0564,2.13912,3.4174,1.17537,0.02556,0.90196,0.05229,0.02466,1.66095,3.45967,1.02815,0.000178218,0.000178218,0.000178218
3,18.802,1.99752,3.00737,1.17147,0.02722,0.96078,0.06137,0.03131,1.59943,3.38055,0.99792,0.000274456,0.000274456,0.000274456
4,26.2049,1.77719,2.45112,1.01769,0.02833,1,0.07116,0.03657,1.38827,3.2342,0.94879,0.000368714,0.000368714,0.000368714
5,33.0396,1.66355,1.75064,0.99231,0.02833,1,0.2573,0.13223,1.34783,3.08333,0.9422,0.000460992,0.000460992,0.000460992
6,39.9987,1.70691,1.50487,0.98728,0.02833,1,0.64028,0.3156,1.42878,2.77732,0.95011,0.00055129,0.00055129,0.00055129
7,47.0641,1.74458,1.30788,1.04481,0.6853,0.76864,0.68405,0.34988,1.48222,2.33804,0.94888,0.000639608,0.000639608,0.000639608
8,53.9969,1.71461,1.30354,0.99637,0.6853,0.76864,0.68405,0.34988,1.48222,2.33804,0.94888,0.000725946,0.000725946,0.000725946
9,61.0839,1.79598,1.62348,1.06212,0.67848,0.78431,0.70253,0.36802,1.50344,1.86869,0.95304,0.000810304,0.000810304,0.000810304
10,68.4904,1.69706,1.20866,1.00484,0.62425,0.847,0.72812,0.36016,1.48217,1.59951,0.96168,0.000892682,0.000892682,0.000892682
11,74.8442,1.67721,1.26572,0.99033,0.62425,0.847,0.72812,0.36016,1.48217,1.59951,0.96168,0.00097308,0.00097308,0.00097308
12,81.4604,1.64341,1.43565,1.00168,0.63899,0.88235,0.75903,0.38257,1.51539,1.61104,0.97977,0.0010515,0.0010515,0.0010515
13,87.3177,1.56916,1.42836,1.0002,0.63899,0.88235,0.75903,0.38257,1.51539,1.61104,0.97977,0.00112794,0.00112794,0.00112794
14,93.0151,1.61652,1.15756,1.07205,0.63899,0.88235,0.75903,0.38257,1.51539,1.61104,0.97977,0.00120239,0.00120239,0.00120239
15,99.0269,1.67306,1.24967,1.02858,0.6356,0.78664,0.72727,0.33477,1.54514,1.56345,1.00462,0.00127487,0.00127487,0.00127487
16,105.099,1.61659,1.31556,1.05765,0.6356,0.78664,0.72727,0.33477,1.54514,1.56345,1.00462,0.00134537,0.00134537,0.00134537
17,111.049,1.54159,1.2646,1.0298,0.6356,0.78664,0.72727,0.33477,1.54514,1.56345,1.00462,0.00141389,0.00141389,0.00141389
18,116.921,1.4955,1.19862,1.04256,0.63351,0.9152,0.71386,0.3994,1.37983,1.30165,1.00171,0.00148043,0.00148043,0.00148043
19,122.845,1.25694,10.9533,0.83911,0.63351,0.9152,0.71386,0.3994,1.37983,1.30165,1.00171,0.00154498,0.00154498,0.00154498
20,128.824,1.55191,1.40578,0.99009,0.63351,0.9152,0.71386,0.3994,1.37983,1.30165,1.00171,0.00160756,0.00160756,0.00160756
21,134.978,1.61858,1.34484,1.03203,0.62616,0.92157,0.66697,0.37226,1.29765,1.33941,0.99535,0.001604,0.001604,0.001604
22,141.019,1.34129,5.93896,0.81338,0.62616,0.92157,0.66697,0.37226,1.29765,1.33941,0.99535,0.0015842,0.0015842,0.0015842
23,147.076,1.6408,1.56878,1.05559,0.62616,0.92157,0.66697,0.37226,1.29765,1.33941,0.99535,0.0015644,0.0015644,0.0015644
24,154.075,1.60751,1.4818,1.01578,0.62972,0.93375,0.71606,0.33673,1.54661,1.34753,1.03458,0.0015446,0.0015446,0.0015446
25,161.109,1.65606,1.45974,0.99786,0.62972,0.93375,0.71606,0.33673,1.54661,1.34753,1.03458,0.0015248,0.0015248,0.0015248
26,168.1,1.56609,1.74467,1.10614,0.62972,0.93375,0.71606,0.33673,1.54661,1.34753,1.03458,0.001505,0.001505,0.001505
27,175.23,1.6273,1.57469,1.02414,0.67732,0.94118,0.75195,0.39699,1.41699,1.24741,1.0295,0.0014852,0.0014852,0.0014852
28,182.356,1.58743,1.38628,1.07512,0.67732,0.94118,0.75195,0.39699,1.41699,1.24741,1.0295,0.0014654,0.0014654,0.0014654
29,189.293,1.65682,1.3175,0.9705,0.67732,0.94118,0.75195,0.39699,1.41699,1.24741,1.0295,0.0014456,0.0014456,0.0014456
30,196.428,1.60855,1.36937,1.04162,0.69802,0.95187,0.82995,0.42678,1.42311,1.34566,1.04361,0.0014258,0.0014258,0.0014258
31,203.365,1.56735,1.08922,1.02657,0.69802,0.95187,0.82995,0.42678,1.42311,1.34566,1.04361,0.001406,0.001406,0.001406
32,209.393,1.5918,1.16398,0.98235,0.69802,0.95187,0.82995,0.42678,1.42311,1.34566,1.04361,0.0013862,0.0013862,0.0013862
33,215.288,1.60923,1.16776,1.09921,0.69802,0.95187,0.82995,0.42678,1.42311,1.34566,1.04361,0.0013664,0.0013664,0.0013664
34,221.227,1.54792,1.0735,0.98957,0.70771,0.94958,0.83136,0.44015,1.46703,1.61221,1.06121,0.0013466,0.0013466,0.0013466
35,227.16,1.59642,1.17811,1.04983,0.70771,0.94958,0.83136,0.44015,1.46703,1.61221,1.06121,0.0013268,0.0013268,0.0013268
36,232.946,1.53868,1.25137,1.06551,0.70771,0.94958,0.83136,0.44015,1.46703,1.61221,1.06121,0.001307,0.001307,0.001307
37,238.926,1.51326,1.10681,0.97995,0.70277,0.97365,0.83582,0.4472,1.46729,1.7923,1.05294,0.0012872,0.0012872,0.0012872
38,244.921,1.5752,1.05356,1.00542,0.70277,0.97365,0.83582,0.4472,1.46729,1.7923,1.05294,0.0012674,0.0012674,0.0012674
39,250.88,1.47383,1.1368,0.97399,0.70277,0.97365,0.83582,0.4472,1.46729,1.7923,1.05294,0.0012476,0.0012476,0.0012476
40,257.341,1.41628,1.16676,1.05604,0.69301,0.98039,0.83308,0.44465,1.43755,1.63238,1.02802,0.0012278,0.0012278,0.0012278
41,263.349,1.56104,1.22696,1.09354,0.69301,0.98039,0.83308,0.44465,1.43755,1.63238,1.02802,0.001208,0.001208,0.001208
42,269.443,1.55481,1.00458,0.96856,0.69301,0.98039,0.83308,0.44465,1.43755,1.63238,1.02802,0.0011882,0.0011882,0.0011882
43,276.015,1.4898,1.17161,1.00792,0.69944,0.98039,0.82034,0.44921,1.36656,1.33556,1.00303,0.0011684,0.0011684,0.0011684
44,283.531,1.55307,1.18278,0.93999,0.69944,0.98039,0.82034,0.44921,1.36656,1.33556,1.00303,0.0011486,0.0011486,0.0011486
45,289.777,1.51444,1.1675,1.00145,0.69944,0.98039,0.82034,0.44921,1.36656,1.33556,1.00303,0.0011288,0.0011288,0.0011288
46,295.733,1.52748,1.06311,0.98942,0.70317,0.98039,0.78786,0.42893,1.4365,1.17667,1.0073,0.001109,0.001109,0.001109
47,301.672,1.5662,1.07267,1.04883,0.70317,0.98039,0.78786,0.42893,1.4365,1.17667,1.0073,0.0010892,0.0010892,0.0010892
48,307.706,1.43472,0.93312,0.9718,0.70317,0.98039,0.78786,0.42893,1.4365,1.17667,1.0073,0.0010694,0.0010694,0.0010694
49,313.82,1.44172,0.95214,1.05632,0.70317,0.98039,0.78786,0.42893,1.4365,1.17667,1.0073,0.0010496,0.0010496,0.0010496
50,320.087,1.59787,1.14217,0.96111,0.66639,1,0.74412,0.40577,1.43741,1.13371,1.01165,0.0010298,0.0010298,0.0010298
51,326.14,1.43761,1.046,1.00758,0.66639,1,0.74412,0.40577,1.43741,1.13371,1.01165,0.00101,0.00101,0.00101
52,331.983,1.39421,0.96814,0.96369,0.66639,1,0.74412,0.40577,1.43741,1.13371,1.01165,0.0009902,0.0009902,0.0009902
53,338.818,1.50772,1.04275,0.97718,0.67038,1,0.71662,0.38394,1.42881,1.16785,1.00871,0.0009704,0.0009704,0.0009704
54,345.601,1.40635,1.02612,0.9701,0.67038,1,0.71662,0.38394,1.42881,1.16785,1.00871,0.0009506,0.0009506,0.0009506
55,352.391,1.41158,1.06895,0.97777,0.67038,1,0.71662,0.38394,1.42881,1.16785,1.00871,0.0009308,0.0009308,0.0009308
56,359.249,1.37213,1.31903,1.04548,0.67771,0.98962,0.69869,0.39412,1.38643,1.18953,0.9949,0.000911,0.000911,0.000911
57,366.271,1.45991,1.07644,1.04857,0.67771,0.98962,0.69869,0.39412,1.38643,1.18953,0.9949,0.0008912,0.0008912,0.0008912
58,373.457,1.60983,1.06353,0.97338,0.67771,0.98962,0.69869,0.39412,1.38643,1.18953,0.9949,0.0008714,0.0008714,0.0008714
59,380.754,1.47715,1.01602,0.97669,0.67557,0.97991,0.70573,0.39617,1.396,1.17044,0.98828,0.0008516,0.0008516,0.0008516
60,387.107,1.44717,1.0253,0.97677,0.67557,0.97991,0.70573,0.39617,1.396,1.17044,0.98828,0.0008318,0.0008318,0.0008318
61,393.434,1.5315,1.28724,0.94022,0.67557,0.97991,0.70573,0.39617,1.396,1.17044,0.98828,0.000812,0.000812,0.000812
62,399.711,1.40438,0.89168,0.94788,0.66876,0.98973,0.70057,0.40482,1.36148,1.15625,0.98142,0.0007922,0.0007922,0.0007922
63,405.986,1.45219,0.92422,0.98474,0.66876,0.98973,0.70057,0.40482,1.36148,1.15625,0.98142,0.0007724,0.0007724,0.0007724
